00:00:00  1647MB         | loaded 5 plugins from 1 lib(s) in 0:00.00
00:00:00  1648MB         | [metadata] loading metadata file: //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/plug-ins/mtoa.mtd
00:00:00  1647MB         | [mtoa] Exporting scene
00:00:00  1646MB         | [mtoa.session]     Initializing at frame 970.000000
00:00:00  1648MB         | [mtoa] Exporting Arnold options 'defaultArnoldRenderOptions'
00:00:00  1647MB         | [mtoa.ext]  aiOptions Using translator <built-in>, provided by <built-in>(<built-in>).
00:00:00  1647MB         |  [mtoa.session]     defaultArnoldRenderOptions     | Exporting plug defaultArnoldRenderOptions.message for type aiOptions
00:00:00  1648MB         |  [mtoa.translator]  defaultArnoldRenderOptions     | <built-in>: Exported 0 override sets.
00:00:00  1649MB         |  [mtoa.translator]  defaultArnoldRenderOptions     | Exporting on plug message (<built-in>)
00:00:00  1647MB         |   [mtoa.session]     defaultArnoldFilter            | Exporting plug defaultArnoldFilter.message for type aiAOVFilter
00:00:00  1647MB         |   [mtoa.translator]  defaultArnoldFilter            | gaussian: Exported 0 override sets.
00:00:00  1647MB         |   [mtoa.translator]  defaultArnoldFilter            | Exporting on plug message (gaussian)
00:00:00  1647MB         |   [mtoa.session]     defaultArnoldDisplayDriver     | Exporting plug defaultArnoldDisplayDriver.message for type aiAOVDriver
00:00:00  1647MB         |   [mtoa.translator]  defaultArnoldDisplayDriver     | maya: Exported 0 override sets.
00:00:00  1647MB         |   [mtoa.translator]  defaultArnoldDisplayDriver     | Exporting on plug message (maya)
00:00:00  1648MB         |   [mtoa.translator]  maya: Parameter gamma is hidden on Arnold node defaultArnoldDisplayDriver@renderview_display(renderview_display).
00:00:00  1649MB         |   [mtoa.translator]  maya: Parameter progressive is hidden on Arnold node defaultArnoldDisplayDriver@renderview_display(renderview_display).
00:00:00  1648MB         |   [mtoa.translator]  maya: Parameter swatch is hidden on Arnold node defaultArnoldDisplayDriver@renderview_display(renderview_display).
00:00:00  1648MB         |  [mtoa] [aov beauty] Setting AOV output: filter and driver.
