00:00:00  3766MB WARNING | AiEnd() called when session is not started, ignoring
00:00:00  3767MB         |   [mtoa.translator]  defaultArnoldFilter            | gaussian: Exported 0 override sets.
00:00:00  3766MB         |   [mtoa.translator]  defaultArnoldFilter            | Exporting on plug message (gaussian)
00:00:00  3767MB         |   [mtoa.session]     defaultArnoldDisplayDriver     | Exporting plug defaultArnoldDisplayDriver.message for type aiAOVDriver
00:00:00  3767MB         |   [mtoa.translator]  defaultArnoldDisplayDriver     | maya: Exported 0 override sets.
00:00:00  3767MB         |   [mtoa.translator]  defaultArnoldDisplayDriver     | Exporting on plug message (maya)
00:00:00  3766MB         |   [mtoa.translator]  maya: Parameter gamma is hidden on Arnold node defaultArnoldDisplayDriver@renderview_display(renderview_display).
00:00:00  3767MB         |   [mtoa.translator]  maya: Parameter progressive is hidden on Arnold node defaultArnoldDisplayDriver@renderview_display(renderview_display).
00:00:00  3767MB         |   [mtoa.translator]  maya: Parameter swatch is hidden on Arnold node defaultArnoldDisplayDriver@renderview_display(renderview_display).
00:00:00  3767MB         |  [mtoa] [aov beauty] Setting AOV output: filter and driver.
00:00:00  3766MB         |   [mtoa.session]     defaultArnoldDriver            | Exporting plug defaultArnoldDriver.message for type aiAOVDriver
00:00:00  3766MB         |   [mtoa.translator]  defaultArnoldDriver            | exr: Exported 0 override sets.
00:00:00  3767MB         |   [mtoa.translator]  defaultArnoldDriver            | Exporting on plug message (exr)
00:00:00  3767MB         |   [mtoa.translator]  exr: Parameter filename is hidden on Arnold node defaultArnoldDriver@driver_exr(driver_exr).
00:00:00  3767MB         |   [mtoa.translator]  exr: Parameter color_space is hidden on Arnold node defaultArnoldDriver@driver_exr(driver_exr).
